Group,Drill,FirstID,AssetDir,FirstMonth,Spec,HasTimer,Cues,Avoid
Quadruped,Cat-Cows,m1-catcow,cat-cows,1,2 × 10,no,"Hands under shoulders, knees under hips · Exhale: round up, tuck chin · Inhale: drop belly, lift chest",Just moving your head — the whole spine moves.
Quadruped,Thread the Needle,m1-tue-thr,thread-the-needle,1,3 × 5 each,no,On hands and knees · Slide right arm under left · Lower shoulder and ear toward floor,Dumping into shoulder.
Quadruped,Bird Dog,m4-wed-bd,bird-dog,4,3 × 8 each,no,"Hands and knees · Extend opposite arm and leg · Square hips, hold 2 sec",Hip rotating up.
Supine,Glute Bridge,m1-wed-gb,glute-bridge,1,3 × 12,no,"Push floor away, lift hips · Squeeze glutes hard at top · Tuck tailbone slightly",Feeling it in the lower back.
Supine,Knee Circles,m1-knee,knee-circles,1,10 each way,no,"Lie on back, knees over chest · Hands rest on knees · Small, slow circles",Forcing range. Keep circles small.
Supine,Pelvic Tilt + March,m1-wed-pm,pelvic-tilt-march,1,3 × 10,no,"Press lower back to floor · Hold tilt — lift one knee, lower · Reset tilt if back arches",Back arching off floor.
Supine,Reclining Figure-4,m1-sat-f4,reclining-figure-4,1,60s each,yes,Right ankle over left knee · Pull left thigh to chest,Lifting head/shoulders.
Supine,Supine Hamstring,m1-sat-h,supine-hamstring,1,60s each,yes,"Towel around foot · Leg up, pull foot toward you",Locking knee hard.
Supine,Supine Twist,m1-fri-tw,supine-twist,1,30s each,yes,"Knees bent, drop to one side",Lifting shoulders off floor.
Supine,Dead Bug,m2-wed-db,dead-bug,2,3 × 8 each,no,"On back, arms up, knees over hips · Press low back to floor · Extend opposite arm and leg slowly",Letting back arch.
Supine,Knee Drops,m2-knee,knee-drops,2,10 each side,no,"On back, knees bent, feet flat · Drop both knees to one side · Slow return, opposite side",Letting shoulders lift.
Supine,Knee Drops + Hold,m3-knee,knee-drops-hold,3,"10 each, 5s hold",no,Drop knees to side · Hold 5 sec at end range · Slow return,Bouncing back.
Supine,Single-Leg Glute Bridge,m3-wed-sl,single-leg-glute-bridge,3,3 × 10 each,no,"One foot up, lift hips with the other · Squeeze hard at top",Hips dropping unevenly.
Supine,Banded Glute Bridge,m4-wed-gb,banded-glute-bridge,4,3 × 15,no,"Band above knees, push out · Lift hips, squeeze",Knees caving against band.
Supine,Loaded Dead Bug,m5-wed-db,loaded-dead-bug,5,3 × 10 each,no,Hold light DBs · Press back to floor · Slow extension,Back arching.
Supine,Loaded Thoracic Extension,m5-tue-lte,loaded-thoracic-extension,5,3 × 8,no,Light DB held overhead · Lie back over roller · Open chest,Lower back arching.
Supine,Thoracic Ext over Roller,m6-wed-te,thoracic-ext-over-roller,6,3 × 10,no,"Roller under upper back · Ribs tucked, open chest",Lower back arching.
Prone,Cobra,m2-tue-cb,cobra,2,3 × 30s,yes,"On stomach, hands under shoulders · Press up only as far as comfortable · Hips stay on floor",Pushing into low back pain.
Child's Pose,Child's Pose,m1-fri-ch,childs-pose,1,30 sec,yes,"Kneel, hips to heels, arms forward",Knee pressure.
Child's Pose,Child's Pose w/ Reach,m1-tue-ch,childs-pose-w-reach,1,3 × 30s,yes,"Kneel, hips to heels, arms forward · Walk hands right 10s · Center 10s, left 10s",Knee pressure — pad if sore.
Child's Pose,Loaded Child's Pose,m4-tue-lcp,loaded-childs-pose,4,3 × 30s,yes,Hold light DB in extended hands · Sink into the stretch,Knee pain — pad it.
Seated,Butterfly,m1-sat-bf,butterfly,1,60s × 2,yes,"Soles together, knees wide · Sit tall, lean from hips",Pushing knees down.
Seated,Seated Figure-4,m1-fig4,seated-figure-4,1,30 sec each,yes,"Sit in chair, ankle on opposite knee · Lean chest forward gently · Keep back long",Rounding to reach further.
Seated,Seated Forward Fold,m1-fri-fw,seated-forward-fold,1,30 sec,yes,"Soft knees, hinge from hips",Forcing toes.
Seated,Seated Thoracic Rotation,m1-wed-tr,seated-thoracic-rotation,1,3 × 10 each,no,Arms crossed over chest · Rotate upper body slowly · Hips face forward,Twisting from lower back.
Seated,90/90 Hip Switches,m2-mon-9090,90-90-hip-switches,2,8 reps,no,"Sit, front leg 90° in front, back leg 90° to side · Rotate legs to opposite side · Chest tall, knees heavy",Leaning back to swing legs.
Seated,Pigeon Prep,m2-sat-pp,pigeon-prep,2,60s each,yes,"On floor, one leg in figure-4 in front · Lean chest forward gently · Cushion under hip if needed",Hip lifting up.
Seated,Seated Rotation,m2-wed-tr,seated-rotation,2,3 × 12 each,no,Cross arms over chest · Rotate further this month · Hips face forward,Twisting from low back.
Seated,90/90 Hip Rotations,m3-9090,90-90-hip-rotations,3,8 each side,no,Full rotation both directions · Chest tall the whole time · Back knee heavy,Swinging with momentum.
Seated,Pigeon Stretch,m3-mon-pg,pigeon-stretch,3,60s each,yes,Front shin angled across mat · Back leg extended · Cushion under hip if needed,Hips uneven.
Seated,Seated Rotation + Reach,m3-wed-tr,seated-rotation-reach,3,3 × 10 each,no,"Cross arms, rotate · Reach far hand toward opposite knee",Twisting from low back.
Seated,Pancake Hold,m4-sat-pc,pancake-hold,4,60s × 2,yes,"Legs wide, toes up · Hinge forward, long spine · Chest leads, not head",Rounding to reach lower.
Seated,Pigeon,m4-sat-pg,pigeon,4,90s each,yes,Cushion under hip if needed,Hip uneven.
Seated,Pigeon Good Morning,m4-pg,pigeon-good-morning,4,6 each,no,"Pigeon position, hipbones forward · Hinge at hips toward shin · Long spine",Rounding the back.
Seated,Loaded Pancake,m5-sat-pc,loaded-pancake,5,45s × 2,yes,"Light DB at chest · Hinge from hips, long spine",Rounding back.
Seated,Loaded Pike,m5-sat-pk,loaded-pike,5,45s × 2,yes,Light DB at chest · Hinge toward toes,Rounding back.
Seated,Pigeon Good Mornings,m6-pg,pigeon-good-mornings,6,8 each,no,"Long spine, hinge from hips",Rounding.
Seated,Straddle Holds,m6-sat-st,straddle-holds,6,30s each,yes,"Legs in V, hold over left, center, right",Forcing past tolerance.
Half-Kneeling,Half-Kneeling Hip Flexor,m1-hf,half-kneeling-hip-flexor,1,30 sec each,yes,"Towel under back knee if needed · Tuck tailbone, squeeze back glute · Stay tall",Arching the lower back.
Half-Kneeling,Half-Kneeling Hip Flexor + Reach,m2-hf,half-kneeling-hip-flexor-reach,2,40 sec each,yes,"Tuck, squeeze glute, then · Raise same-side arm overhead · Slight side-bend away",Arching back to reach.
Half-Kneeling,Couch Stretch,m3-couch1,couch-stretch,3,40s each,yes,"Lunge position · Back foot flat on floor (not wall yet) · Tuck tailbone, squeeze glute",Arching the lower back.
Half-Kneeling,Half-Kneeling Couch Stretch,m3-sat-cs,half-kneeling-couch-stretch,3,60s each,yes,"Lunge, back foot up against wall or couch · Tuck tailbone, squeeze glute",Arching back.
Half-Kneeling,Half-Kneeling Hip Flexor + Rotation,m5-hfr,half-kneeling-hip-flexor-rotation,5,30s each,yes,"Tuck, squeeze, then rotate toward front leg · Open chest",Lower back pinch.
Standing,Lateral Lunge,m1-fri-ll,lateral-lunge,1,5 each,no,"Hold chair, step wide",Past easy depth.
Standing,Reverse Lunge,m1-mon-rl,reverse-lunge,1,3 × 6 each,no,"Hold chair, one hand · Step foot back into lunge · Step up. Switch.",Front knee caving inward.
Standing,Squat to Chair,m1-mon-sq,squat-to-chair,1,3 × 10,no,"Stand in front of chair · Push hips back, tap chair · Stand up",Crashing onto the chair.
Standing,Standing Hamstring,m1-mon-ham,standing-hamstring,1,3 × 30s each,yes,Heel on low step · Hinge forward from hips · Keep back long,Rounding back to reach.
Standing,Standing Quad,m1-mon-quad,standing-quad,1,3 × 30s each,yes,"Hold wall, grab ankle · Pull heel toward butt · Tuck tailbone",Knee flaring out.
Standing,Supported Lateral Lunge,m1-lat,supported-lateral-lunge,1,5 each,no,"Hold chair/counter for balance · Step foot out wide, sit toward that side · Other leg straight, foot flat",Going lower than feels easy.
Standing,Bodyweight Squat,m2-mon-sq,bodyweight-squat,2,3 × 10,no,"No chair this month · Sit back, knees out · As deep as comfortable",Knees caving inward.
Standing,Deep Squat Hold,m2-fri-ds,deep-squat-hold,2,20 sec,yes,"Heels flat, chest tall · Hold a pole if needed",Forcing depth.
Standing,Cossack Shift,m3-cossack,cossack-shift,3,10 reps,no,Feet 2× shoulder width · Shift fully one side · Other foot stays flat,Heel popping up.
Standing,Cossack Squat,m3-mon-cs,cossack-squat,3,3 × 8 each,no,"Wide stance · Sit fully into one side, stay heels flat · Other leg straight",Rushing the transition.
Standing,Walking Lunge,m3-mon-wl,walking-lunge,3,3 × 10 each,no,"Step forward, lower · Drive through heel up · Alternate legs",Front knee inward.
